,open,high,low,close,adjclose,volume,ticker,adjclose_30,true_adjclose_30,buy_profit,sell_profit
2016-12-08,771.8699951171875,773.7899780273438,765.1900024414062,767.3300170898438,767.3300170898438,3189600,AMZN,55.77908,38.630001068115234,0.0,711.5509376525879
2016-12-14,778.25,780.8599853515625,762.8099975585938,768.8200073242188,768.8200073242188,5454800,AMZN,14.975803,13.069999694824219,0.0,753.8442039489746
2016-12-27,763.4000244140625,774.6500244140625,761.2000122070312,771.4000244140625,771.4000244140625,2638700,AMZN,16.066544,16.1200008392334,0.0,755.3334808349609
2017-01-10,796.5999755859375,798.0,789.5399780273438,795.9000244140625,795.9000244140625,2558400,AMZN,90.57234,88.2300033569336,0.0,705.3276824951172
2017-01-12,800.3099975585938,814.1300048828125,799.5,813.6400146484375,813.6400146484375,4873900,AMZN,84.01087,89.33999633789062,0.0,729.6291427612305
2017-01-13,814.3200073242188,821.6500244140625,811.4000244140625,817.1400146484375,817.1400146484375,3791900,AMZN,249.4849,249.19000244140625,0.0,567.6551208496094
2017-01-19,810.0,813.510009765625,807.3200073242188,809.0399780273438,809.0399780273438,2540800,AMZN,50.54981,21.61458396911621,0.0,758.4901695251465
2017-01-24,822.0,823.989990234375,814.5,822.4400024414062,822.4400024414062,2971700,AMZN,33.494186,13.958333015441893,0.0,788.9458160400391
2017-01-26,835.530029296875,843.8400268554688,833.0,839.1500244140625,839.1500244140625,3586300,AMZN,821.73846,771.4000244140625,0.0,17.41156005859375
2017-01-27,839.0,839.7000122070312,829.4400024414062,835.77001953125,835.77001953125,2998700,AMZN,85.095825,56.040000915527344,0.0,750.6741943359375
2017-02-09,821.5999755859375,825.0,819.7100219726562,821.3599853515625,821.3599853515625,2484900,AMZN,706.8206,675.8900146484375,0.0,114.53936767578125
2017-03-09,851.0,856.4000244140625,850.3099975585938,853.0,853.0,2048200,AMZN,86.840004,68.54000091552734,0.0,766.1599960327148
2017-03-10,857.0,857.3499755859375,851.719970703125,852.4600219726562,852.4600219726562,2436400,AMZN,2192.4827,2043.0,1340.0226440429688,0.0
2017-03-13,851.77001953125,855.6900024414062,851.7100219726562,854.5900268554688,854.5900268554688,1909700,AMZN,321.2967,333.54998779296875,0.0,533.2933349609375
2017-03-21,858.8400268554688,862.7999877929688,841.3099975585938,843.2000122070312,843.2000122070312,4382900,AMZN,1532.7224,1612.8699951171875,689.5223999023438,0.0
2017-04-04,891.5,908.5399780273438,890.280029296875,906.8300170898438,906.8300170898438,4984700,AMZN,34.95439,37.875,0.0,871.8756256103516
2017-04-18,900.989990234375,909.6099853515625,900.780029296875,903.780029296875,903.780029296875,2999200,AMZN,9.560136,7.854166507720946,0.0,894.2198934555054
